team,group,win,draw,lose,goalsFor,goalsAgainest,goalDifference,points
Netherlands,A,2,1,0,5,1,4,7
Senegal,A,2,0,1,5,4,1,6
Ecuador,A,1,1,1,4,3,1,4
Qatar,A,0,0,3,1,7,-6,0
England,B,2,1,0,9,2,7,7
USA,B,1,2,0,2,1,1,5
Iran,B,1,0,2,4,7,-3,3
Wales,B,1,1,2,1,6,-5,1
Argentina,C,2,0,1,5,2,3,6
Poland,C,1,1,1,2,2,0,4
Mexico,C,1,1,1,2,3,-1,4
Saudi Arabia,C,1,0,2,3,5,-2,3
France,D,2,0,1,6,3,3,6
Australia,D,2,0,1,3,4,-1,6
Tunisia,D,1,1,1,1,1,0,4
Denmark,D,0,1,2,1,3,-2,1
Japan,E,2,0,1,4,3,1,6
Spain,E,1,1,1,9,3,6,4
Germany,E,1,1,1,6,5,1,4
Costa Rica,E,1,0,2,3,11,-8,3
Morocco,F,2,1,0,4,1,3,7
Croatia,F,1,2,0,4,1,3,5
Belgium,F,1,1,1,1,2,-1,4
Canada,F,0,0,3,2,7,-5,0
Brazil,G,2,0,1,3,1,2,6
Switzerland,G,1,0,1,4,3,1,6
Cameroon,G,1,1,1,4,4,0,4
Serbia,G,0,1,2,5,8,-3,1
Portugal,H,2,0,1,6,4,2,6
South Korea,H,1,1,1,4,4,0,4
Uruguay,H,1,1,1,2,2,0,4
Ghana,H,1,0,2,5,7,-2,3
